Empresa,Modalidad Contractual,Segmento,Ano,Trimestre,Numero de Bajas
AMERICA MOVIL PERU S.A.C.,,,2014,I,"1,843,147"
Entel Peru S.A.,,,2014,I,"240,326"
Telefonica del Peru S.A.A.,,,2014,I,"2,127,260"
AMERICA MOVIL PERU S.A.C.,,,2014,II,"1,947,522"
Entel Peru S.A.,,,2014,II,"259,096"
Telefonica del Peru S.A.A.,,,2014,II,"2,211,153"
AMERICA MOVIL PERU S.A.C.,,,2014,III,"1,937,566"
Entel Peru S.A.,,,2014,III,"315,869"
Telefonica del Peru S.A.A.,,,2014,III,"2,363,006"
VIETTEL PERU S.A.C.,,,2014,III,663
AMERICA MOVIL PERU S.A.C.,,,2014,IV,"2,057,769"
Entel Peru S.A.,,,2014,IV,"301,687"
Telefonica del Peru S.A.A.,,,2014,IV,"2,301,384"
VIETTEL PERU S.A.C.,,,2014,IV,"1,796"
AMERICA MOVIL PERU S.A.C.,,,2015,I,"2,184,140"
Entel Peru S.A.,,,2015,I,"353,432"
Telefonica del Peru S.A.A.,,,2015,I,"2,340,421"
VIETTEL PERU S.A.C.,,,2015,I,"6,569"
AMERICA MOVIL PERU S.A.C.,,,2015,II,"2,116,606"
Entel Peru S.A.,,,2015,II,"539,537"
Telefonica del Peru S.A.A.,,,2015,II,"2,528,105"
VIETTEL PERU S.A.C.,,,2015,II,"43,925"
AMERICA MOVIL PERU S.A.C.,,,2015,III,"2,174,594"
Entel Peru S.A.,,,2015,III,"365,162"
Telefonica del Peru S.A.A.,,,2015,III,"2,704,235"
VIETTEL PERU S.A.C.,,,2015,III,"244,038"
AMERICA MOVIL PERU S.A.C.,,,2015,IV,"2,252,963"
Entel Peru S.A.,,,2015,IV,"559,938"
Telefonica del Peru S.A.A.,,,2015,IV,"2,591,595"
VIETTEL PERU S.A.C.,,,2015,IV,"439,904"
AMERICA MOVIL PERU S.A.C.,,,2016,I,"2,215,508"
Entel Peru S.A.,,,2016,I,"554,902"
Telefonica del Peru S.A.A.,,,2016,I,"2,836,505"
VIETTEL PERU S.A.C.,,,2016,I,"572,433"
AMERICA MOVIL PERU S.A.C.,,,2016,II,"2,184,187"
Entel Peru S.A.,,,2016,II,"721,373"
Telefonica del Peru S.A.A.,,,2016,II,"2,994,612"
VIETTEL PERU S.A.C.,,,2016,II,"290,325"
AMERICA MOVIL PERU S.A.C.,,,2016,III,"3,029,869"
Entel Peru S.A.,,,2016,III,"932,522"
FLASH SERVICIOS Peru S.R.L.,,,2016,III,20
Telefonica del Peru S.A.A.,,,2016,III,"3,279,273"
VIETTEL PERU S.A.C.,,,2016,III,"377,619"
AMERICA MOVIL PERU S.A.C.,,,2016,IV,"2,285,747"
Entel Peru S.A.,,,2016,IV,"933,537"
FLASH SERVICIOS Peru S.R.L.,,,2016,IV,534
Telefonica del Peru S.A.A.,,,2016,IV,"2,903,832"
VIETTEL PERU S.A.C.,,,2016,IV,"623,626"
AMERICA MOVIL PERU S.A.C.,,,2017,I,"1,775,883"
Entel Peru S.A.,,,2017,I,"926,987"
FLASH SERVICIOS Peru S.R.L.,,,2017,I,"4,763"
Telefonica del Peru S.A.A.,,,2017,I,"2,812,745"
VIETTEL PERU S.A.C.,,,2017,I,"872,807"
AMERICA MOVIL PERU S.A.C.,,,2017,II,"1,824,812"
Entel Peru S.A.,,,2017,II,"852,499"
FLASH SERVICIOS Peru S.R.L.,,,2017,II,"2,660"
Telefonica del Peru S.A.A.,,,2017,II,"2,696,680"
VIETTEL PERU S.A.C.,,,2017,II,"783,706"
AMERICA MOVIL PERU S.A.C.,,,2017,III,"1,122,946"
Entel Peru S.A.,,,2017,III,"992,750"
FLASH SERVICIOS Peru S.R.L.,,,2017,III,"2,916"
Telefonica del Peru S.A.A.,,,2017,III,"2,730,041"
VIETTEL PERU S.A.C.,,,2017,III,"701,757"
AMERICA MOVIL PERU S.A.C.,,,2017,IV,"1,166,702"
Entel Peru S.A.,,,2017,IV,"1,068,742"
FLASH SERVICIOS Peru S.R.L.,,,2017,IV,"1,069"
Telefonica del Peru S.A.A.,,,2017,IV,"2,634,368"
VIETTEL PERU S.A.C.,,,2017,IV,"1,063,241"
AMERICA MOVIL PERU S.A.C.,,,2018,I,"3,609,913"
Entel Peru S.A.,,,2018,I,"1,053,708"
FLASH SERVICIOS Peru S.R.L.,,,2018,I,"2,368"
Telefonica del Peru S.A.A.,,,2018,I,"2,571,899"
VIETTEL PERU S.A.C.,,,2018,I,"1,378,551"
AMERICA MOVIL PERU S.A.C.,,,2018,II,"2,104,319"
Entel Peru S.A.,,,2018,II,"1,203,729"
FLASH SERVICIOS Peru S.R.L.,,,2018,II,"41,532"
Telefonica del Peru S.A.A.,,,2018,II,"2,822,864"
VIETTEL PERU S.A.C.,,,2018,II,"2,281,815"
AMERICA MOVIL PERU S.A.C.,,,2018,III,"2,579,446"
Entel Peru S.A.,,,2018,III,"1,319,074"
FLASH SERVICIOS Peru S.R.L.,,,2018,III,"43,802"
Telefonica del Peru S.A.A.,,,2018,III,"3,137,978"
VIETTEL PERU S.A.C.,,,2018,III,"1,760,087"
AMERICA MOVIL PERU S.A.C.,,,2018,IV,"4,849,234"
Entel Peru S.A.,,,2018,IV,"1,379,661"
FLASH SERVICIOS Peru S.R.L.,,,2018,IV,"1,717"
Telefonica del Peru S.A.A.,,,2018,IV,"3,375,649"
VIETTEL PERU S.A.C.,,,2018,IV,"603,093"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2019,I,"72,812"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2019,I,"336,266"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2019,I,"19,053"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2019,I,"51,589"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2019,I,"2,364,694"
Entel Peru S.A.,Control,Residencial,2019,I,"314,756"
Entel Peru S.A.,Postpago,Residencial,2019,I,"1,916"
Entel Peru S.A.,Prepago,Residencial,2019,I,"1,162,612"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,I,"1,585"
Telefonica DEL Peru S.A.A.,Control,Comercial,2019,I,"11,121"
Telefonica DEL Peru S.A.A.,Control,Residencial,2019,I,"390,640"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2019,I,"30,355"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2019,I,"57,262"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2019,I,"2,474,942"
VIETTEL PERU S.A.C.,Control,Comercial,2019,I,"4,695"
VIETTEL PERU S.A.C.,Control,Residencial,2019,I,"169,995"
VIETTEL PERU S.A.C.,Prepago,Comercial,2019,I,"2,843"
VIETTEL PERU S.A.C.,Prepago,Residencial,2019,I,"626,932"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2019,II,"71,093"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2019,II,"349,182"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2019,II,"15,111"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2019,II,"39,682"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2019,II,"2,377,187"
Entel Peru S.A.,Control,Residencial,2019,II,"357,770"
Entel Peru S.A.,Postpago,Residencial,2019,II,"1,745"
Entel Peru S.A.,Prepago,Residencial,2019,II,"1,227,985"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,II,17
Telefonica DEL Peru S.A.A.,Control,Comercial,2019,II,"23,974"
Telefonica DEL Peru S.A.A.,Control,Residencial,2019,II,"524,561"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2019,II,"39,687"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2019,II,"55,012"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2019,II,"2,842,006"
VIETTEL PERU S.A.C.,Control,Comercial,2019,II,"4,621"
VIETTEL PERU S.A.C.,Control,Residencial,2019,II,"173,389"
VIETTEL PERU S.A.C.,Prepago,Comercial,2019,II,"3,036"
VIETTEL PERU S.A.C.,Prepago,Residencial,2019,II,"627,325"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2019,III,"66,758"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2019,III,"361,099"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2019,III,"16,089"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2019,III,"36,492"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2019,III,"2,120,226"
Entel Peru S.A.,Control,Residencial,2019,III,"351,049"
Entel Peru S.A.,Postpago,Residencial,2019,III,"1,776"
Entel Peru S.A.,Prepago,Residencial,2019,III,"930,288"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,III,"1,800"
Telefonica DEL Peru S.A.A.,Control,Comercial,2019,III,"18,568"
Telefonica DEL Peru S.A.A.,Control,Residencial,2019,III,"582,439"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2019,III,"47,781"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2019,III,"43,637"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2019,III,"2,853,368"
VIETTEL PERU S.A.C.,Control,Comercial,2019,III,"5,173"
VIETTEL PERU S.A.C.,Control,Residencial,2019,III,"215,745"
VIETTEL PERU S.A.C.,Prepago,Comercial,2019,III,"1,376"
VIETTEL PERU S.A.C.,Prepago,Residencial,2019,III,"481,592"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2019,IV,"68,172"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2019,IV,"308,073"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2019,IV,"13,905"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2019,IV,"26,133"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2019,IV,"2,108,889"
Entel Peru S.A.,Control,Residencial,2019,IV,"343,963"
Entel Peru S.A.,Postpago,Residencial,2019,IV,"3,905"
Entel Peru S.A.,Prepago,Residencial,2019,IV,"781,804"
GUINEA MOBILE S.A.C.,Prepago,Residencial,2019,IV,30
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,IV,"6,850"
Telefonica DEL Peru S.A.A.,Control,Comercial,2019,IV,"9,464"
Telefonica DEL Peru S.A.A.,Control,Residencial,2019,IV,"626,439"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2019,IV,"47,475"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2019,IV,"34,649"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2019,IV,"2,425,305"
VIETTEL PERU S.A.C.,Control,Comercial,2019,IV,"3,187"
VIETTEL PERU S.A.C.,Control,Residencial,2019,IV,"130,527"
VIETTEL PERU S.A.C.,Prepago,Comercial,2019,IV,"3,363"
