EMPRESA,MODALIDAD_CONTRACTUAL,Segmento,ANO,TRIMESTRE,NUMERO_DE_BAJAS,,
AMERICA_MOVIL_PERU_S.A.C.,,,2014,I,1843147,,
Entel_Peru_S.A.,,,2014,I,240326,,
Telefonica_del_Peru_S.A.A.,,,2014,I,2127260,,
AMERICA_MOVIL_PERU_S.A.C.,,,2014,II,1947522,,
Entel_Peru_S.A.,,,2014,II,259096,,
Telefonica_del_Peru_S.A.A.,,,2014,II,2211153,,
AMERICA_MOVIL_PERU_S.A.C.,,,2014,III,1937566,,
Entel_Peru_S.A.,,,2014,III,315869,,
Telefonica_del_Peru_S.A.A.,,,2014,III,2363006,,
VIETTEL_PERU_S.A.C.,,,2014,III,663,,
AMERICA_MOVIL_PERU_S.A.C.,,,2014,IV,2057769,,
Entel_Peru_S.A.,,,2014,IV,301687,,
Telefonica_del_Peru_S.A.A.,,,2014,IV,2301384,,
VIETTEL_PERU_S.A.C.,,,2014,IV,1796,,
AMERICA_MOVIL_PERU_S.A.C.,,,2015,I,2184140,,
Entel_Peru_S.A.,,,2015,I,353432,,
Telefonica_del_Peru_S.A.A.,,,2015,I,2340421,,
VIETTEL_PERU_S.A.C.,,,2015,I,6569,,
AMERICA_MOVIL_PERU_S.A.C.,,,2015,II,2116606,,
Entel_Peru_S.A.,,,2015,II,539537,,
Telefonica_del_Peru_S.A.A.,,,2015,II,2528105,,
VIETTEL_PERU_S.A.C.,,,2015,II,43925,,
AMERICA_MOVIL_PERU_S.A.C.,,,2015,III,2174594,,
Entel_Peru_S.A.,,,2015,III,365162,,
Telefonica_del_Peru_S.A.A.,,,2015,III,2704235,,
VIETTEL_PERU_S.A.C.,,,2015,III,244038,,
AMERICA_MOVIL_PERU_S.A.C.,,,2015,IV,2252963,,
Entel_Peru_S.A.,,,2015,IV,559938,,
Telefonica_del_Peru_S.A.A.,,,2015,IV,2591595,,
VIETTEL_PERU_S.A.C.,,,2015,IV,439904,,
AMERICA_MOVIL_PERU_S.A.C.,,,2016,I,2215508,,
Entel_Peru_S.A.,,,2016,I,554902,,
Telefonica_del_Peru_S.A.A.,,,2016,I,2836505,,
VIETTEL_PERU_S.A.C.,,,2016,I,572433,,
AMERICA_MOVIL_PERU_S.A.C.,,,2016,II,2184187,,
Entel_Peru_S.A.,,,2016,II,721373,,
Telefonica_del_Peru_S.A.A.,,,2016,II,2994612,,
VIETTEL_PERU_S.A.C.,,,2016,II,290325,,
AMERICA_MOVIL_PERU_S.A.C.,,,2016,III,3029869,,
Entel_Peru_S.A.,,,2016,III,932522,,
FLASH SERVICIOS Peru S.R.L.,,,2016,III,20,,
Telefonica_del_Peru_S.A.A.,,,2016,III,3279273,,
VIETTEL_PERU_S.A.C.,,,2016,III,377619,,
AMERICA_MOVIL_PERU_S.A.C.,,,2016,IV,2285747,,
Entel_Peru_S.A.,,,2016,IV,933537,,
FLASH SERVICIOS Peru S.R.L.,,,2016,IV,534,,
Telefonica_del_Peru_S.A.A.,,,2016,IV,2903832,,
VIETTEL_PERU_S.A.C.,,,2016,IV,623626,,
AMERICA_MOVIL_PERU_S.A.C.,,,2017,I,1775883,,
Entel_Peru_S.A.,,,2017,I,926987,,
FLASH SERVICIOS Peru S.R.L.,,,2017,I,4763,,
Telefonica_del_Peru_S.A.A.,,,2017,I,2812745,,
VIETTEL_PERU_S.A.C.,,,2017,I,872807,,
AMERICA_MOVIL_PERU_S.A.C.,,,2017,II,1824812,,
Entel_Peru_S.A.,,,2017,II,852499,,
FLASH SERVICIOS Peru S.R.L.,,,2017,II,2660,,
Telefonica_del_Peru_S.A.A.,,,2017,II,2696680,,
VIETTEL_PERU_S.A.C.,,,2017,II,783706,,
AMERICA_MOVIL_PERU_S.A.C.,,,2017,III,1122946,,
Entel_Peru_S.A.,,,2017,III,992750,,
FLASH SERVICIOS Peru S.R.L.,,,2017,III,2916,,
Telefonica_del_Peru_S.A.A.,,,2017,III,2730041,,
VIETTEL_PERU_S.A.C.,,,2017,III,701757,,
AMERICA_MOVIL_PERU_S.A.C.,,,2017,IV,1166702,,
Entel_Peru_S.A.,,,2017,IV,1068742,,
FLASH SERVICIOS Peru S.R.L.,,,2017,IV,1069,,
Telefonica_del_Peru_S.A.A.,,,2017,IV,2634368,,
VIETTEL_PERU_S.A.C.,,,2017,IV,1063241,,
AMERICA_MOVIL_PERU_S.A.C.,,,2018,I,3609913,,
Entel_Peru_S.A.,,,2018,I,1053708,,
FLASH SERVICIOS Peru S.R.L.,,,2018,I,2368,,
Telefonica_del_Peru_S.A.A.,,,2018,I,2571899,,
VIETTEL_PERU_S.A.C.,,,2018,I,1378551,,
AMERICA_MOVIL_PERU_S.A.C.,,,2018,II,2104319,,
Entel_Peru_S.A.,,,2018,II,1203729,,
FLASH SERVICIOS Peru S.R.L.,,,2018,II,41532,,
Telefonica_del_Peru_S.A.A.,,,2018,II,2822864,,
VIETTEL_PERU_S.A.C.,,,2018,II,2281815,,
AMERICA_MOVIL_PERU_S.A.C.,,,2018,III,2579446,,
Entel_Peru_S.A.,,,2018,III,1319074,,
FLASH SERVICIOS Peru S.R.L.,,,2018,III,43802,,
Telefonica_del_Peru_S.A.A.,,,2018,III,3137978,,
VIETTEL_PERU_S.A.C.,,,2018,III,1760087,,
AMERICA_MOVIL_PERU_S.A.C.,,,2018,IV,4849234,,
Entel_Peru_S.A.,,,2018,IV,1379661,,
FLASH SERVICIOS Peru S.R.L.,,,2018,IV,1717,,
Telefonica_del_Peru_S.A.A.,,,2018,IV,3375649,,
VIETTEL_PERU_S.A.C.,,,2018,IV,603093,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,I,72812,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,I,336266,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,I,19053,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,I,51589,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,I,2364694,,
Entel_Peru_S.A.,Control,Residencial,2019,I,314756,,
Entel_Peru_S.A.,Postpago,Residencial,2019,I,1916,,
Entel_Peru_S.A.,Prepago,Residencial,2019,I,1162612,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,I,1585,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,I,11121,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,I,390640,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,I,30355,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,I,57262,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,I,2474942,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,I,4695,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,I,169995,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,I,2843,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,I,626932,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,II,71093,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,II,349182,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,II,15111,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,II,39682,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,II,2377187,,
Entel_Peru_S.A.,Control,Residencial,2019,II,357770,,
Entel_Peru_S.A.,Postpago,Residencial,2019,II,1745,,
Entel_Peru_S.A.,Prepago,Residencial,2019,II,1227985,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,II,17,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,II,23974,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,II,524561,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,II,39687,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,II,55012,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,II,2842006,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,II,4621,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,II,173389,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,II,3036,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,II,627325,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,III,66758,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,III,361099,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,III,16089,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,III,36492,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,III,2120226,,
Entel_Peru_S.A.,Control,Residencial,2019,III,351049,,
Entel_Peru_S.A.,Postpago,Residencial,2019,III,1776,,
Entel_Peru_S.A.,Prepago,Residencial,2019,III,930288,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,III,1800,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,III,18568,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,III,582439,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,III,47781,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,III,43637,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,III,2853368,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2019,III,5173,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2019,III,215745,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2019,III,1376,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2019,III,481592,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2019,IV,68172,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2019,IV,308073,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2019,IV,13905,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2019,IV,26133,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2019,IV,2108889,,
Entel_Peru_S.A.,Control,Residencial,2019,IV,343963,,
Entel_Peru_S.A.,Postpago,Residencial,2019,IV,3905,,
Entel_Peru_S.A.,Prepago,Residencial,2019,IV,781804,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2019,IV,30,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,IV,6850,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2019,IV,9464,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2019,IV,626439,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2019,IV,47475,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2019,IV,34649,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2019,IV,2425305,,
